time_s,DP_module_m2_s2
22.6891,27.980602723
22.695,27.980387156
22.7009,27.980633108
22.7069,27.980148628
22.7128,27.980451438
22.7187,27.980205024
22.7246,27.980437999
22.7305,27.980270868
22.7364,27.980519858
22.7423,27.980258704
22.7482,27.980553663
22.7541,27.980330428
22.76,27.98048566
22.766,27.9803411
22.7719,27.980608726
22.7778,27.980312646
22.7837,27.980655828
22.7896,27.980474345
22.7955,27.980729252
22.8014,27.980523142
22.8073,27.980816272
22.8132,27.980488624
22.8191,27.980806347
22.8251,27.980527196
22.831,27.980752759
22.8369,27.980662876
22.8428,27.980929964
22.8487,27.980627839
22.8546,27.980881139
22.8605,27.980709039
22.8664,27.980901903
22.8723,27.980679507
22.8783,27.98088732
22.8842,27.980543076
22.8901,27.980796548
22.896,27.980459838
22.9019,27.980676411
22.9078,27.980521326
22.9137,27.980782846
22.9196,27.980430971
22.9255,27.980662913
22.9314,27.980468394
22.9374,27.980664765
22.9433,27.98038454
22.9492,27.980556941
22.9551,27.980212936
22.961,27.980501692
22.9669,27.980184645
22.9728,27.980397674
22.9787,27.980198247
22.9846,27.98048473
22.9905,27.98019037
22.9965,27.980438447
23.0024,27.980362505
23.0083,27.980579493
23.0142,27.980409907
23.0201,27.980700608
23.026,27.980415117
23.0319,27.98072231
23.0378,27.980482074
23.0437,27.980746861
23.0496,27.980573043
23.0556,27.980800364
23.0615,27.980480784
23.0674,27.980788706
23.0733,27.980564299
23.0792,27.980775655
23.0851,27.980584815
23.091,27.980799182
23.0969,27.980503972
23.1028,27.98073514
23.1087,27.98048475
23.1147,27.980737562
23.1206,27.980613052
23.1265,27.980810395
23.1324,27.980460676
23.1383,27.980700506
23.1442,27.980530174
23.1501,27.980691524
23.156,27.980561597
23.1619,27.980779384
23.1678,27.980500963
23.1738,27.980789455
23.1797,27.980519616
23.1856,27.980772401
23.1915,27.980650975
23.1974,27.980808658
23.2033,27.980524015
23.2092,27.980729312
23.2151,27.980457394
23.221,27.980656854
23.227,27.980356493
23.2329,27.980593776
23.2388,27.98022289
23.2447,27.980460034
23.2506,27.980254371
23.2565,27.980444426
23.2624,27.980371633
23.2683,27.980523113
23.2742,27.980273998
23.2801,27.980464741
23.2861,27.980403627
23.292,27.980485053
23.2979,27.980405658
23.3038,27.980653938
23.3097,27.980367971
23.3156,27.980569633
23.3215,27.980474954
23.3274,27.98067734
23.3333,27.980610843
23.3392,27.98074166
23.3452,27.980556265
23.3511,27.980819878
23.357,27.980672301
23.3629,27.980751769
23.3688,27.980696863
23.3747,27.980902834
23.3806,27.980730537
23.3865,27.980845971
23.3924,27.980682388
23.3983,27.980957073
23.4043,27.980682815
23.4102,27.980849926
23.4161,27.980585501
23.422,27.980827987
23.4279,27.980623184
23.4338,27.980717692
23.4397,27.980595437
23.4456,27.980766178
23.4515,27.980507811
23.4574,27.980620878
23.4634,27.980496415
23.4693,27.980652878
23.4752,27.980481663
23.4811,27.980544961
23.487,27.980274534
23.4929,27.980426178
23.4988,27.980185127
23.5047,27.980298341
23.5106,27.980171601
23.5165,27.980421886
23.5225,27.980198118
23.5284,27.980334064
23.5343,27.980321763
23.5402,27.980477148
23.5461,27.980333374
23.552,27.980509426
23.5579,27.980369516
23.5638,27.980619441
23.5697,27.980488104
23.5757,27.980637174
23.5816,27.980587383
23.5875,27.980843664
23.5934,27.98059388
23.5993,27.980786027
23.6052,27.980682524
23.6111,27.980864935
23.617,27.980674555
23.6229,27.980762263
23.6288,27.980569471
23.6348,27.98070678
23.6407,27.980562797
23.6466,27.980650766
23.6525,27.980578207
23.6584,27.980771148
23.6643,27.98053998
23.6702,27.980641916
23.6761,27.980570347
23.682,27.980676308
23.6879,27.980497244
23.6939,27.980625876
23.6998,27.980453238
23.7057,27.98069801
23.7116,27.980587488
23.7175,27.980622094
23.7234,27.980485535
23.7293,27.98070542
23.7352,27.980439214
23.7411,27.980524918
23.747,27.980371082
23.753,27.980540695
