# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
0.03371,0.0334686165804
0.033825,0.033520927787
0.03394,0.0335729620629
0.034055,0.0336247180713
0.03417,0.0336761944756
0.034285,0.0337273899391
0.0344,0.033778303125
0.034515,0.0338289326966
0.03463,0.0338792773173
0.034745,0.0339293356503
0.03486,0.033979106359
0.034975,0.0340285881065
0.03509,0.0340777795563
0.035205,0.0341266793716
0.03532,0.0341752862156
0.035435,0.0342235987518
0.03555,0.0342716156433
0.035665,0.0343193355535
0.03578,0.0343667571457
0.035895,0.0344138790831
0.03601,0.0344607000292
0.036125,0.034507218647
0.03624,0.0345534336
0.036355,0.0345993435514
0.03647,0.0346449471646
0.036585,0.0346902431028
0.0367,0.0347352300293
0.036815,0.0347799066074
0.03693,0.0348242715004
0.037045,0.0348683233717
0.03716,0.0349120608844
0.037275,0.0349554827019
0.03739,0.0349985874875
0.037505,0.0350413739044
0.03762,0.035083840616
0.037735,0.0351259862856
0.03785,0.0351678095764
0.037965,0.0352093091518
0.03808,0.035250483675
0.038195,0.0352913318093
0.03831,0.0353318522181
0.038425,0.0353720435646
0.03854,0.0354119045121
0.038655,0.0354514337239
0.03877,0.0354906298633
0.038885,0.0355294915936
0.039,0.0355680175781
0.039115,0.0356062064801
0.03923,0.0356440569628
0.039345,0.0356815676897
0.03946,0.0357187373238
0.039575,0.0357555645287
0.03969,0.0357920479674
0.039805,0.0358281863034
0.03992,0.0358639782
0.040035,0.0358994223204
0.04015,0.0359345173279
0.040265,0.0359692618858
0.04038,0.0360036546574
0.040495,0.036037694306
0.04061,0.036071379495
0.040725,0.0361047088875
0.04084,0.0361376811469
0.040955,0.0361702949364
0.04107,0.0362025489195
0.041185,0.0362344417593
0.0413,0.0362659721191
0.041415,0.0362971386623
0.04153,0.0363279400522
0.041645,0.036358374952
0.04176,0.036388442025
0.041875,0.0364181399345
0.04199,0.0364474673439
0.042105,0.0364764229164
0.04222,0.0365050053152
0.042335,0.0365332132038
0.04245,0.0365610452454
0.042565,0.0365885001032
0.04268,0.0366155764406
