# F28 duct inner/outer surfaces and the O-band boundary C'.
# Actuator-disk representation; no rotor.
x_m,r_inner_m,r_outer_m,r_cprime_inner_m,r_cprime_outer_m
0.0489,0.125,0.151792862248,0.1225,0.154292862248
0.049,0.125,0.151796609682,0.1225,0.154296609682
0.0491,0.125,0.15180032203,0.1225,0.15430032203
0.0492,0.125,0.151803999322,0.1225,0.154303999322
0.0493,0.125,0.151807641593,0.1225,0.154307641593
0.0494,0.125,0.151811248876,0.1225,0.154311248876
0.0495,0.125,0.151814821201,0.1225,0.154314821201
0.0496,0.125,0.1518183586,0.1225,0.1543183586
0.0497,0.125,0.151821861106,0.1225,0.154321861106
0.0498,0.125,0.151825328748,0.1225,0.154325328748
0.0499,0.125,0.151828761558,0.1225,0.154328761558
0.05,0.125,0.151832159566,0.1225,0.154332159566
0.0501,0.125,0.151835522802,0.1225,0.154335522802
0.0502,0.125,0.151838851296,0.1225,0.154338851296
0.0503,0.125,0.151842145076,0.1225,0.154342145076
0.0504,0.125,0.151845404172,0.1225,0.154345404172
0.0505,0.125,0.151848628613,0.1225,0.154348628613
0.0506,0.125,0.151851818426,0.1225,0.154351818426
0.0507,0.125,0.15185497364,0.1225,0.15435497364
0.0508,0.125,0.151858094282,0.1225,0.154358094282
0.0509,0.125,0.15186118038,0.1225,0.15436118038
0.051,0.125,0.15186423196,0.1225,0.15436423196
0.0511,0.125,0.151867249049,0.1225,0.154367249049
0.0512,0.125,0.151870231674,0.1225,0.154370231674
0.0513,0.125,0.151873179861,0.1225,0.154373179861
0.0514,0.125,0.151876093634,0.1225,0.154376093634
0.0515,0.125,0.15187897302,0.1225,0.15437897302
0.0516,0.125,0.151881818043,0.1225,0.154381818043
0.0517,0.125,0.151884628728,0.1225,0.154384628728
0.0518,0.125,0.1518874051,0.1225,0.1543874051
0.0519,0.125,0.151890147182,0.1225,0.154390147182
0.052,0.125,0.151892854998,0.1225,0.154392854998
0.0521,0.125,0.151895528572,0.1225,0.154395528572
0.0522,0.125,0.151898167926,0.1225,0.154398167926
