eta,surface,source,x_over_c,Cp
0.65,lower,cfd,0.9776741862297058,0.20264464616775513
0.65,lower,cfd,0.9832360744476318,0.21543847024440765
0.65,lower,cfd,0.9875468015670776,0.22642944753170013
0.65,lower,cfd,0.9908901453018188,0.23586876690387726
0.65,lower,cfd,0.9934810996055603,0.24390916526317596
0.65,lower,cfd,0.9954813718795776,0.2507515251636505
0.65,lower,cfd,0.9970118999481201,0.25665438175201416
0.65,lower,cfd,0.9981621503829956,0.2617936134338379
0.65,lower,cfd,0.9989975094795227,0.26630082726478577
0.65,lower,cfd,0.9995640516281128,0.26970332860946655
0.65,lower,cfd,0.9998924136161804,0.2720193862915039
0.65,lower,tunnel,0.00591,0.59
0.65,lower,tunnel,0.0201,0.026
0.65,lower,tunnel,0.05016,-0.009
0.65,lower,tunnel,0.1701,-0.121
0.65,lower,tunnel,0.2701,-0.196
0.65,lower,tunnel,0.37009,-0.27
0.65,lower,tunnel,0.47037,-0.279
0.65,lower,tunnel,0.57033,-0.213
0.65,lower,tunnel,0.67008,-0.143
0.65,lower,tunnel,0.81986,-0.016
0.65,lower,tunnel,0.94999,0.157
0.8,upper,cfd,0.0,0.7287139296531677
0.8,upper,cfd,0.00010756133997347206,0.652140736579895
0.8,upper,cfd,0.0004359306185506284,0.5569718480110168
0.8,upper,cfd,0.0010025304509326816,0.4445663392543793
0.8,upper,cfd,0.0018378043314442039,0.3127858638763428
0.8,upper,cfd,0.0029881512746214867,0.16350001096725464
0.8,upper,cfd,0.004518585279583931,-0.002728592837229371
0.8,upper,cfd,0.006518877577036619,-0.18737296760082245
0.8,upper,cfd,0.009109795093536377,-0.3919694423675537
0.8,upper,cfd,0.012453091330826283,-0.6156682372093201
0.8,upper,cfd,0.01676388829946518,-0.8459546566009521
0.8,upper,cfd,0.02232581004500389,-1.049248218536377
0.8,upper,cfd,0.02951105497777462,-1.182212471961975
0.8,upper,cfd,0.03880231827497482,-1.2161448001861572
0.8,upper,cfd,0.05081626772880554,-1.1772475242614746
0.8,upper,cfd,0.06632399559020996,-1.1238000392913818
0.8,upper,cfd,0.08625796437263489,-1.0790648460388184
0.8,upper,cfd,0.11169268935918808,-1.0359141826629639
0.8,upper,cfd,0.14377650618553162,-0.980224072933197
0.8,upper,cfd,0.18359161913394928,-0.8974472880363464
0.8,upper,cfd,0.23192636668682098,-0.787409782409668
0.8,upper,cfd,0.288974791765213,-0.6619433760643005
0.8,upper,cfd,0.354031503200531,-0.5222967863082886
0.8,upper,cfd,0.4253067970275879,-0.37953218817710876
0.8,upper,cfd,0.5000000596046448,-0.26240137219429016
0.8,upper,cfd,0.5746932625770569,-0.18030864000320435
0.8,upper,cfd,0.6459685564041138,-0.12068790942430496
0.8,upper,cfd,0.7110252976417542,-0.0713101476430893
0.8,upper,cfd,0.7680737376213074,-0.02749258652329445
0.8,upper,cfd,0.8164084553718567,0.012559031136333942
0.8,upper,cfd,0.8562235832214355,0.05085906386375427
0.8,upper,cfd,0.8883073329925537,0.08759728819131851
0.8,upper,cfd,0.9137420654296875,0.12101618200540543
0.8,upper,cfd,0.93367600440979,0.14981359243392944
0.8,upper,cfd,0.9491837024688721,0.173471599817276
0.8,upper,cfd,0.9611977934837341,0.19224300980567932
0.8,upper,cfd,0.970488965511322,0.2070954293012619
0.8,upper,cfd,0.9776741862297058,0.21928085386753082
0.8,upper,cfd,0.9832361936569214,0.22949272394180298
0.8,upper,cfd,0.9875469207763672,0.23812104761600494
0.8,upper,cfd,0.9908902049064636,0.24546535313129425
0.8,upper,cfd,0.9934812188148499,0.25173133611679077
0.8,upper,cfd,0.9954813122749329,0.25719916820526123
0.8,upper,cfd,0.9970119595527649,0.2620607614517212
0.8,upper,cfd,0.9981622099876404,0.2666342556476593
0.8,upper,cfd,0.9989975690841675,0.27026623487472534
0.8,upper,cfd,0.9995640516281128,0.2743377685546875
0.8,upper,cfd,0.99989253282547,0.2753218412399292
0.8,upper,cfd,1.0,0.2769169211387634
