# Region            : cellZone gateZoneInner
# Cells             : 590
# Volume            : 1.015917205418e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.0042179879        	1.874669069310e+00	3.820968471039e+02	2.278310441416e+00	2.499323980974e+05
0.0042191096        	1.874672068890e+00	3.820960248467e+02	2.278316450461e+00	2.499325209969e+05
0.004220228         	1.874675018369e+00	3.820951518296e+02	2.278321408835e+00	2.499324946763e+05
0.0042213482        	1.874677974869e+00	3.820944058308e+02	2.278327556567e+00	2.499326811238e+05
0.0042224664        	1.874680692728e+00	3.820937598729e+02	2.278333954946e+00	2.499329594434e+05
0.0042235714        	1.874682937551e+00	3.820930643035e+02	2.278337708734e+00	2.499329145660e+05
0.0042246779        	1.874684481472e+00	3.820923430207e+02	2.278337690222e+00	2.499324380644e+05
0.0042257766        	1.874685945085e+00	3.820918304980e+02	2.278336541139e+00	2.499319741132e+05
0.0042268786        	1.874687910004e+00	3.820918004956e+02	2.278338455820e+00	2.499321627536e+05
0.0042279975        	1.874690910475e+00	3.820922596208e+02	2.278344422326e+00	2.499331168444e+05
0.0042291229        	1.874694187948e+00	3.820932399072e+02	2.278354510027e+00	2.499348641861e+05
0.0042302515        	1.874697467713e+00	3.820945828904e+02	2.278367115152e+00	2.499371242260e+05
0.0042313772        	1.874700258025e+00	3.820962472593e+02	2.278380679105e+00	2.499396993496e+05
0.0042325011        	1.874702252756e+00	3.820980911737e+02	2.278393522194e+00	2.499423123385e+05
0.0042336237        	1.874702978704e+00	3.821000229905e+02	2.278405415378e+00	2.499448787762e+05
0.0042347491        	1.874702069796e+00	3.821020265889e+02	2.278417032423e+00	2.499474620118e+05
0.0042358754        	1.874698959362e+00	3.821037533475e+02	2.278423217332e+00	2.499492688023e+05
0.0042369961        	1.874693661351e+00	3.821051141558e+02	2.278423251991e+00	2.499501629322e+05
0.0042381185        	1.874687241861e+00	3.821061571871e+02	2.278418123220e+00	2.499502836247e+05
0.0042392378        	1.874680044193e+00	3.821069042570e+02	2.278409843734e+00	2.499498650838e+05
0.0042403574        	1.874672021043e+00	3.821072378342e+02	2.278396929010e+00	2.499486675778e+05
0.0042414766        	1.874663182909e+00	3.821071259680e+02	2.278380769351e+00	2.499468225069e+05
0.0042425817        	1.874654721669e+00	3.821066133095e+02	2.278362801419e+00	2.499445163091e+05
0.0042436899        	1.874646878042e+00	3.821058168739e+02	2.278344305633e+00	2.499419665429e+05
0.0042447882        	1.874640872597e+00	3.821049256318e+02	2.278327951215e+00	2.499395901918e+05
0.0042458918        	1.874636982846e+00	3.821040722817e+02	2.278315339101e+00	2.499376499991e+05
0.0042470136        	1.874634735948e+00	3.821031857597e+02	2.278304429614e+00	2.499358754698e+05
0.0042481392        	1.874633746391e+00	3.821022148748e+02	2.278295678714e+00	2.499342825131e+05
0.0042492659        	1.874634465374e+00	3.821011785181e+02	2.278289547641e+00	2.499329339660e+05
0.0042503921        	1.874637156414e+00	3.821002907319e+02	2.278288781597e+00	2.499322706914e+05
0.0042515148        	1.874641166905e+00	3.820994192058e+02	2.278291675223e+00	2.499320192286e+05
0.0042526387        	1.874646058561e+00	3.820985104143e+02	2.278296630882e+00	2.499319689752e+05
0.004253763         	1.874650930362e+00	3.820975441038e+02	2.278302174812e+00	2.499319458266e+05
0.0042548876        	1.874654752179e+00	3.820963406825e+02	2.278304666276e+00	2.499314326646e+05
0.004256007         	1.874657553522e+00	3.820949817119e+02	2.278304160947e+00	2.499304890783e+05
0.0042571259        	1.874659915120e+00	3.820937019941e+02	2.278303566105e+00	2.499295866536e+05
0.0042582462        	1.874662576298e+00	3.820925946261e+02	2.278304670820e+00	2.499289833649e+05
0.0042593633        	1.874665207241e+00	3.820917631721e+02	2.278309059189e+00	2.499289202745e+05
0.0042604768        	1.874667467467e+00	3.820910479466e+02	2.278314064411e+00	2.499290006713e+05
0.004261581         	1.874669334400e+00	3.820905017938e+02	2.278318864240e+00	2.499291687238e+05
0.0042626915        	1.874670844116e+00	3.820902737700e+02	2.278324428418e+00	2.499296283809e+05
0.0042637888        	1.874672674572e+00	3.820905494309e+02	2.278332783530e+00	2.499307243353e+05
0.0042648957        	1.874675223360e+00	3.820913943970e+02	2.278346008491e+00	2.499327266491e+05
0.0042660222        	1.874678552746e+00	3.820927513659e+02	2.278363488052e+00	2.499355309095e+05
0.0042671487        	1.874681828257e+00	3.820944221662e+02	2.278381899341e+00	2.499386422102e+05
0.0042682747        	1.874684523736e+00	3.820963457482e+02	2.278400276652e+00	2.499419149191e+05
0.0042694026        	1.874686722003e+00	3.820982682306e+02	2.278415550721e+00	2.499448469087e+05
0.0042705243        	1.874688189859e+00	3.821002254159e+02	2.278428810665e+00	2.499475804483e+05
0.0042716491        	1.874688517001e+00	3.821022739763e+02	2.278440753219e+00	2.499502296687e+05
0.0042727728        	1.874687226696e+00	3.821041421042e+02	2.278448082594e+00	2.499522551653e+05
0.0042738954        	1.874683545793e+00	3.821055563262e+02	2.278447348148e+00	2.499530996457e+05
0.0042750144        	1.874677769579e+00	3.821064395331e+02	2.278438148869e+00	2.499526686827e+05
0.0042761325        	1.874671474702e+00	3.821069352156e+02	2.278424208451e+00	2.499514637758e+05
0.0042772547        	1.874664474776e+00	3.821070072287e+02	2.278405473517e+00	2.499494553785e+05
0.0042783721        	1.874656496654e+00	3.821065434172e+02	2.278381992211e+00	2.499465756976e+05
0.0042794813        	1.874648259038e+00	3.821055878856e+02	2.278354758590e+00	2.499429621985e+05
