# Region type : patch outlet
# Faces         : 24
# Area          : 6.97245941e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.00040095016   	4.11921360e-04
0.00040144793   	4.12152351e-04
0.00040194625   	4.12418746e-04
0.00040244735   	4.12746194e-04
0.00040295092   	4.13077671e-04
0.00040345603   	4.13336391e-04
0.00040396023   	4.13577802e-04
0.00040446404   	4.13894935e-04
0.0004049678    	4.14262404e-04
0.00040547158   	4.14574102e-04
0.00040597536   	4.14713399e-04
0.00040647633   	4.15038044e-04
0.00040697745   	4.15477472e-04
0.00040747989   	4.15801957e-04
0.0004079833    	4.16165984e-04
0.00040848706   	4.16469307e-04
0.00040898989   	4.16861813e-04
0.00040949277   	4.17305506e-04
0.00040999605   	4.17655908e-04
0.0004104996    	4.18015437e-04
0.00041100322   	4.18490410e-04
0.00041150419   	4.19035688e-04
0.00041200534   	4.19473393e-04
0.00041250777   	4.20032773e-04
0.00041301111   	4.20805113e-04
0.00041351476   	4.21698016e-04
0.00041401735   	4.22686238e-04
0.00041452002   	4.23734607e-04
0.00041502315   	4.24842502e-04
0.00041552656   	4.25980925e-04
0.00041603005   	4.27128398e-04
0.00041653026   	4.28269672e-04
0.00041703065   	4.29403382e-04
0.00041753272   	4.30525521e-04
0.00041803594   	4.31633132e-04
0.00041853957   	4.32723554e-04
0.00041904195   	4.33789084e-04
0.00041954439   	4.34818978e-04
0.00042004733   	4.35788785e-04
0.00042055061   	4.36671584e-04
0.00042105399   	4.37445937e-04
0.00042155462   	4.38098386e-04
0.0004220554    	4.38606927e-04
0.00042255755   	4.38990335e-04
0.00042306064   	4.39272478e-04
0.00042356408   	4.39477211e-04
0.00042406633   	4.39625673e-04
0.00042456866   	4.39734739e-04
0.00042507152   	4.39817044e-04
0.00042557473   	4.39881381e-04
0.00042607801   	4.39933700e-04
0.00042657795   	4.39978149e-04
0.00042707808   	4.40016638e-04
0.00042757991   	4.40051138e-04
0.00042808295   	4.40082957e-04
0.00042858639   	4.40112843e-04
0.00042908846   	4.40141376e-04
0.00042959058   	4.40168590e-04
0.00043009328   	4.40194929e-04
0.00043059638   	4.40220730e-04
0.00043109958   	4.40246201e-04
0.00043159999   	4.40271766e-04
0.00043210056   	4.40296883e-04
0.00043260252   	4.40321945e-04
0.00043310546   	4.40347256e-04
0.00043360872   	4.40372907e-04
0.00043411068   	4.40399023e-04
0.00043461275   	4.40425275e-04
0.00043511545   	4.40451824e-04
0.00043561855   	4.40478770e-04
0.00043612175   	4.40506096e-04
0.00043662271   	4.40533952e-04
0.00043712383   	4.40561697e-04
0.00043762603   	4.40589502e-04
0.000438129     	4.40617436e-04
0.0004386322    	4.40645417e-04
0.00043913387   	4.40673432e-04
0.00043963568   	4.40700940e-04
0.00044013827   	4.40728009e-04
0.00044064137   	4.40754697e-04
0.0004411446    	4.40780943e-04
0.00044164504   	4.40806979e-04
0.00044214587   	4.40831997e-04
0.00044264793   	4.40856402e-04
0.00044315127   	4.40880354e-04
0.00044365535   	4.40903970e-04
0.00044415802   	4.40927489e-04
0.00044466051   	4.40950499e-04
0.00044516324   	4.40973205e-04
0.00044566618   	4.40995726e-04
0.00044616917   	4.41018118e-04
0.00044666807   	4.41040881e-04
0.00044716714   	4.41062860e-04
0.00044766826   	4.41084485e-04
0.00044817089   	4.41106080e-04
0.00044867404   	4.41127631e-04
0.00044917603   	4.41149133e-04
0.00044967807   	4.41170112e-04
0.00045018058   	4.41190633e-04
0.00045068347   	4.41210701e-04
0.00045118646   	4.41230260e-04
0.00045168593   	4.41249658e-04
0.00045218558   	4.41267828e-04
0.00045268701   	4.41285104e-04
0.00045318972   	4.41301769e-04
0.00045369287   	4.41317838e-04
0.00045419475   	4.41333420e-04
0.00045469669   	4.41348117e-04
0.00045519915   	4.41362121e-04
0.00045570201   	4.41375586e-04
0.000456205     	4.41388600e-04
0.0004567051    	4.41401614e-04
0.0004572054    	4.41413821e-04
0.0004577072    	4.41425605e-04
0.00045821004   	4.41437300e-04
0.00045871322   	4.41448983e-04
0.00045921505   	4.41460814e-04
0.00045971698   	4.41472342e-04
0.00046021953   	4.41483722e-04
0.00046072249   	4.41495030e-04
0.00046122557   	4.41506230e-04
0.00046172642   	4.41517540e-04
0.00046222746   	4.41528153e-04
0.00046272958   	4.41538237e-04
0.00046323244   	4.41547916e-04
0.00046373552   	4.41557143e-04
0.00046423705   	4.41566025e-04
0.00046473873   	4.41573995e-04
0.00046524114   	4.41581237e-04
0.00046574405   	4.41587944e-04
