power_W,airspeed_m_per_s,iteration,solid_peak_temperature_degC,solid_minimum_temperature_degC
155,40,2900,31.682494,29.840289
155,40,3000,31.682494,29.840289
155,40,3100,31.682494,29.840289
155,40,3200,31.682494,29.840289
155,40,3300,31.682494,29.840289
155,40,3400,31.682494,29.840289
155,40,3500,31.682494,29.840289
155,40,3600,31.682494,29.840289
155,40,3700,31.682494,29.840289
155,40,3800,31.682494,29.840289
155,40,3900,31.682494,29.840289
155,40,4000,31.682494,29.840289
155,40,4100,31.682494,29.840289
155,40,4200,31.682494,29.840289
155,40,4300,31.682494,29.840289
155,40,4400,31.682494,29.840289
155,40,4500,31.682494,29.840289
155,40,4600,31.682494,29.840289
155,40,4700,31.682494,29.840289
155,40,4800,31.682494,29.840289
155,40,4900,31.682494,29.840289
155,40,5000,31.682494,29.840289
155,40,5100,31.682494,29.840289
155,40,5200,31.682494,29.840289
155,40,5300,31.682494,29.840289
155,40,5400,31.682494,29.840289
155,40,5500,31.682494,29.840289
155,40,5600,31.682494,29.840289
155,40,5700,31.682494,29.840289
155,40,5800,31.682494,29.840289
155,40,5900,31.682494,29.840289
155,40,6000,31.682494,29.840289
155,40,6100,31.682494,29.840289
155,40,6200,31.682494,29.840289
155,40,6300,31.682494,29.840289
155,40,6400,31.682494,29.840289
155,40,6500,31.682494,29.840289
155,40,6600,31.682494,29.840289
155,40,6700,31.682494,29.840289
155,40,6800,31.682494,29.840289
155,40,6900,31.682494,29.840289
155,40,7000,31.682494,29.840289
155,40,7100,31.682494,29.840289
155,40,7200,31.682494,29.840289
155,40,7300,31.682494,29.840289
155,40,7400,31.682494,29.840289
155,40,7500,31.682494,29.840289
155,40,7600,31.682494,29.840289
155,40,7700,31.682494,29.840289
155,40,7800,31.682494,29.840289
155,40,7900,31.682494,29.840289
155,40,8000,31.682494,29.840289
155,40,8100,31.682494,29.840289
155,40,8200,31.682494,29.840289
155,40,8300,31.682494,29.840289
155,40,8400,31.682494,29.840289
155,40,8500,31.682494,29.840289
155,40,8600,31.682494,29.840289
155,40,8700,31.682494,29.840289
155,40,8800,31.682494,29.840289
155,40,8900,31.682494,29.840289
155,40,9000,31.682494,29.840289
155,40,9100,31.682494,29.840289
155,40,9200,31.682494,29.840289
155,40,9300,31.682494,29.840289
155,40,9400,31.682494,29.840289
155,40,9500,31.682494,29.840289
155,40,9600,31.682494,29.840289
155,40,9700,31.682494,29.840289
155,40,9800,31.682494,29.840289
155,40,9900,31.682494,29.840289
155,40,10000,31.682494,29.840289
230,10,100,55.778832,54.377462
230,10,200,69.694367,67.071605
230,10,300,76.205008,72.831292
230,10,400,79.083768,75.443930
230,10,500,80.450374,76.660540
230,10,600,81.143807,77.267903
230,10,700,81.482046,77.565247
230,10,800,81.637071,77.700601
230,10,900,81.715779,77.769669
230,10,1000,81.754225,77.803482
230,10,1100,81.774663,77.821595
230,10,1200,81.785085,77.830828
230,10,1300,81.790569,77.835706
230,10,1400,81.793527,77.838329
