# Region            : cellZone gateZone
# Cells             : 1005
# Volume            : 1.730603759569e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.00027696978       	2.322971055558e+00	3.290002476970e+02	1.672587162735e+00	1.635304902424e+05
0.00027804149       	2.321356774267e+00	3.293640440179e+02	1.676730267016e+00	1.641027569072e+05
0.00027911476       	2.319744407323e+00	3.297278770740e+02	1.680881091656e+00	1.646759758358e+05
0.00028018715       	2.318136514206e+00	3.300909000273e+02	1.685029478381e+00	1.652487436141e+05
0.00028125877       	2.316530713133e+00	3.304533758579e+02	1.689174407387e+00	1.658209776459e+05
0.00028233026       	2.314922927873e+00	3.308158647278e+02	1.693317884582e+00	1.663929917680e+05
0.00028340086       	2.313312567756e+00	3.311783578064e+02	1.697456294076e+00	1.669643190626e+05
0.00028447167       	2.311698549814e+00	3.315413416043e+02	1.701594386110e+00	1.675356796594e+05
0.0002855443        	2.310080466748e+00	3.319052078094e+02	1.705739567348e+00	1.681081004183e+05
0.00028661797       	2.308461622503e+00	3.322693520452e+02	1.709888361338e+00	1.686810521230e+05
0.00028769147       	2.306844854399e+00	3.326330658684e+02	1.714035442623e+00	1.692537491706e+05
0.00028876419       	2.305231448517e+00	3.329962209398e+02	1.718178960824e+00	1.698259835688e+05
0.00028983681       	2.303619353193e+00	3.333591025343e+02	1.722321271962e+00	1.703980454681e+05
0.00029090908       	2.302007002586e+00	3.337219620678e+02	1.726461918392e+00	1.709699209229e+05
0.00029198128       	2.300393361830e+00	3.340851765298e+02	1.730603544318e+00	1.715419914075e+05
0.00029305461       	2.298776302366e+00	3.344491495394e+02	1.734750253541e+00	1.721147947313e+05
0.00029412888       	2.297157190485e+00	3.348136489678e+02	1.738900825213e+00	1.726881304498e+05
0.0002952038        	2.295538535677e+00	3.351782498487e+02	1.743053078226e+00	1.732616464830e+05
0.00029627797       	2.293924030429e+00	3.355422948873e+02	1.747202476822e+00	1.738346911761e+05
0.00029735176       	2.292313837923e+00	3.359059248348e+02	1.751352193861e+00	1.744076920336e+05
0.00029842518       	2.290706936738e+00	3.362692577315e+02	1.755503412087e+00	1.749808105608e+05
0.00029949795       	2.289100592563e+00	3.366323112962e+02	1.759652729431e+00	1.755536202053e+05
0.0003005715        	2.287490740511e+00	3.369956499231e+02	1.763804100767e+00	1.761266810786e+05
0.0003016467        	2.285875484792e+00	3.373597396242e+02	1.767960748641e+00	1.767004974760e+05
0.00030272289       	2.284256222065e+00	3.377244516179e+02	1.772120830588e+00	1.772748670972e+05
0.00030379821       	2.282636757833e+00	3.380890776989e+02	1.776276992738e+00	1.778487996062e+05
0.00030487291       	2.281017630603e+00	3.384534898834e+02	1.780430174948e+00	1.784223773716e+05
0.00030594739       	2.279398777471e+00	3.388175398648e+02	1.784580343007e+00	1.789955423531e+05
0.00030702133       	2.277780975607e+00	3.391810149776e+02	1.788725717577e+00	1.795680240428e+05
0.00030809624       	2.276162276809e+00	3.395445944331e+02	1.792874174127e+00	1.801409348388e+05
0.00030917268       	2.274542075172e+00	3.399086465388e+02	1.797030857935e+00	1.807149415342e+05
0.00031024988       	2.272921073655e+00	3.402732343397e+02	1.801194583690e+00	1.812899495706e+05
0.00031132624       	2.271301481817e+00	3.406379685522e+02	1.805360206415e+00	1.818652408115e+05
0.0003124022        	2.269682947180e+00	3.410028164452e+02	1.809526597128e+00	1.824406327968e+05
0.00031347845       	2.268065280134e+00	3.413676140227e+02	1.813694029855e+00	1.830160626375e+05
0.00031455395       	2.266451077830e+00	3.417319734830e+02	1.817858547834e+00	1.835910361837e+05
0.00031562968       	2.264838730268e+00	3.420961741900e+02	1.822024641884e+00	1.841661291184e+05
0.00031670637       	2.263226091673e+00	3.424605849332e+02	1.826195691475e+00	1.847418017669e+05
0.00031778382       	2.261611610296e+00	3.428253964884e+02	1.830370573378e+00	1.853179929082e+05
0.00031886171       	2.259994187934e+00	3.431905324294e+02	1.834544638049e+00	1.858941391075e+05
0.00031993903       	2.258374881757e+00	3.435556642332e+02	1.838712307228e+00	1.864695013865e+05
0.00032101637       	2.256753590203e+00	3.439209667379e+02	1.842876384288e+00	1.870444817728e+05
0.00032209296       	2.255131299134e+00	3.442861659596e+02	1.847033858561e+00	1.876186930495e+05
0.00032316922       	2.253507718266e+00	3.446513712723e+02	1.851186842367e+00	1.881924105210e+05
0.00032424651       	2.251880520370e+00	3.450171560325e+02	1.855342484713e+00	1.887666343809e+05
0.00032532534       	2.250249756558e+00	3.453835346485e+02	1.859501438071e+00	1.893414289934e+05
0.00032640451       	2.248617180841e+00	3.457501599103e+02	1.863660223775e+00	1.899163306527e+05
0.00032748284       	2.246986196304e+00	3.461164553925e+02	1.867815633836e+00	1.904907923518e+05
0.00032856078       	2.245357126003e+00	3.464823298012e+02	1.871968721047e+00	1.910648726746e+05
0.00032963821       	2.243729077181e+00	3.468474983706e+02	1.876115321530e+00	1.916379582885e+05
0.00033071536       	2.242100071260e+00	3.472118206878e+02	1.880251955857e+00	1.922095124610e+05
0.00033179394       	2.240466160881e+00	3.475753815711e+02	1.884379168854e+00	1.927794511101e+05
0.00033287352       	2.238827852861e+00	3.479373719145e+02	1.888487175474e+00	1.933462853744e+05
0.00033395363       	2.237186886366e+00	3.482976526674e+02	1.892574791857e+00	1.939099373706e+05
0.00033503301       	2.235546452259e+00	3.486563080483e+02	1.896645964607e+00	1.944710315649e+05
0.00033611225       	2.233905502823e+00	3.490137078865e+02	1.900704993877e+00	1.950301905987e+05
0.00033719139       	2.232261205812e+00	3.493696864948e+02	1.904747182081e+00	1.955867573235e+05
0.00033827005       	2.230613265039e+00	3.497239083205e+02	1.908766488445e+00	1.961398277565e+05
0.00033934954       	2.228960270621e+00	3.500773116196e+02	1.912774383618e+00	1.966910816217e+05
0.00034043009       	2.227301804939e+00	3.504299562145e+02	1.916771386146e+00	1.972406105915e+05
0.0003415116        	2.225638289726e+00	3.507815375831e+02	1.920754384905e+00	1.977879591532e+05
0.00034259234       	2.223973832387e+00	3.511315735841e+02	1.924718635028e+00	1.983325157631e+05
0.00034367273       	2.222308898696e+00	3.514806257551e+02	1.928671890012e+00	1.988754285428e+05
0.00034475313       	2.220644213417e+00	3.518289293845e+02	1.932617878186e+00	1.994172159775e+05
0.00034583274       	2.218981538091e+00	3.521764998889e+02	1.936554888652e+00	1.999577571119e+05
0.00034691277       	2.217319248412e+00	3.525233291607e+02	1.940483358121e+00	2.004970718277e+05
0.00034799408       	2.215657344125e+00	3.528692651199e+02	1.944401803145e+00	2.010349179472e+05
0.00034907616       	2.213999430763e+00	3.532142054759e+02	1.948312896615e+00	2.015717220309e+05
0.0003501581        	2.212348783860e+00	3.535583027716e+02	1.952219811273e+00	2.021080395313e+05
0.0003512396        	2.210705406861e+00	3.539016371353e+02	1.956123008541e+00	2.026439618454e+05
0.00035232138       	2.209064741485e+00	3.542442997600e+02	1.960015589253e+00	2.031785286267e+05
0.00035340227       	2.207424192053e+00	3.545851287190e+02	1.963877471899e+00	2.037088438546e+05
0.00035448316       	2.205782391033e+00	3.549241823138e+02	1.967705482217e+00	2.042345378239e+05
0.00035556508       	2.204140749543e+00	3.552617306544e+02	1.971502583790e+00	2.047562183378e+05
0.00035664866       	2.202503185553e+00	3.555967487589e+02	1.975262233797e+00	2.052728822173e+05
0.00035773187       	2.200873523838e+00	3.559276595117e+02	1.978966407427e+00	2.057820463819e+05
