# DIGITIZED from Wibron, Ljung and Lundstrom 2018, Energies 11(3):644, CC-BY.
# Source PDF sha256 4de4798ed5eed60feda123c7a2398674a6a9177f44906175847d90f5227d7b77
# Produced by docs/campaigns/F14-cooling-ladder/digitize_wibron2018.py --write
# NOT TABULATED IN THE PAPER.  Every value below is a figure reading.
# Digitisation increments, derived by the controls printed by the
# command above and restated here so no reader can quote a value
# finer than it was measured (L-28):
#   temperature  +-0.03 K      velocity  +-0.007 m/s      height  +-0.005 m
# More decimals are carried below only so the file round-trips; the
# graded value is the one at the increment.
# Figure 8a,b: computed velocity profiles at L1 and L2 with the
# comparison line moved 5, 10 and 15 cm toward the hot-aisle centre.
# ***NOT A REFERENCE VALUE.***  Figure 8's experiment markers are
# Figure 7a,b's markers (control C6 measures the identity), so this
# figure adds no measurement.  What it adds is the position
# sensitivity dv/dx that the K2c-A L1/L2/L4 row's mandatory +-0.15 m
# sweep is read against.  The turbulence model behind these curves is
# NOT STATED by the paper and control C9 does not identify it.
# Curve velocities carried at the +-0.007 m/s marker-placement bound
# of control C6, measured on this very figure; heights +-0.005 m.
# loc  shift_cm  height_m  velocity_mps
L1      10    0.0694    0.2613
L1      10    0.0757    0.2542
L1      10    0.0821    0.2485
L1      10    0.0884    0.2436
L1      10    0.0947    0.2400
L1      10    0.1010    0.2375
L1      10    0.1073    0.2364
L1      10    0.1136    0.2365
L1      10    0.1199    0.2378
L1      10    0.1262    0.2404
L1      10    0.1326    0.2451
L1      10    0.1389    0.2517
L1      10    0.1452    0.2591
L1      10    0.1515    0.2672
L1      10    0.1578    0.2752
L1      10    0.1641    0.2831
L1      10    0.1704    0.2918
L1      10    0.1767    0.3013
L1      10    0.1831    0.3099
L1      10    0.1894    0.3159
L1      10    0.1957    0.3204
L1      10    0.2020    0.3250
L1      10    0.2083    0.3297
L1      10    0.2146    0.3346
L1      10    0.2209    0.3395
L1      10    0.2273    0.3446
L1      10    0.2336    0.3497
L1      10    0.2399    0.3553
L1      10    0.2462    0.3615
L1      10    0.2525    0.3643
L1      10    0.2588    0.3659
L1      10    0.2651    0.3671
L1      10    0.2714    0.3682
L1      10    0.2778    0.3675
L1      10    0.2841    0.3669
L1      10    0.2904    0.3663
L1      10    0.2967    0.3657
L1      10    0.3030    0.3651
L1      10    0.3093    0.3646
L1      10    0.3156    0.3641
L1      10    0.3219    0.3636
L1      10    0.3283    0.3632
L1      10    0.3346    0.3628
L1      10    0.3409    0.3624
L1      10    0.3472    0.3617
L1      10    0.3535    0.3608
L1      10    0.3598    0.3610
L1      10    0.3661    0.3617
L1      10    0.3724    0.3623
L1      10    0.3788    0.3630
L1      10    0.3851    0.3636
L1      10    0.3914    0.3643
L1      10    0.3977    0.3650
L1      10    0.4040    0.3658
L1      10    0.4103    0.3665
L1      10    0.4166    0.3670
L1      10    0.4229    0.3685
L1      10    0.4293    0.3702
L1      10    0.4356    0.3709
L1      10    0.4419    0.3715
L1      10    0.4482    0.3723
L1      10    0.4545    0.3730
L1      10    0.4608    0.3738
L1      10    0.4671    0.3747
L1      10    0.4734    0.3757
L1      10    0.4798    0.3766
L1      10    0.4861    0.3772
L1      10    0.4924    0.3778
L1      10    0.4987    0.3793
L1      10    0.5050    0.3821
L1      10    0.5113    0.3849
L1      10    0.5176    0.3877
L1      10    0.5239    0.3905
L1      10    0.5303    0.3925
L1      10    0.5366    0.3935
L1      10    0.5429    0.3947
L1      10    0.5492    0.3960
L1      10    0.5555    0.3983
L1      10    0.5618    0.4012
L1      10    0.5681    0.4040
L1      10    0.5745    0.4069
L1      10    0.5808    0.4098
L1      10    0.5871    0.4126
L1      10    0.5934    0.4155
L1      10    0.5997    0.4184
L1      10    0.6060    0.4209
L1      10    0.6123    0.4227
L1      10    0.6186    0.4245
L1      10    0.6250    0.4266
L1      10    0.6313    0.4296
L1      10    0.6376    0.4326
L1      10    0.6439    0.4356
L1      10    0.6502    0.4386
L1      10    0.6565    0.4417
L1      10    0.6628    0.4445
L1      10    0.6691    0.4471
L1      10    0.6755    0.4497
L1      10    0.6818    0.4518
L1      10    0.6881    0.4546
L1      10    0.6944    0.4578
L1      10    0.7007    0.4610
L1      10    0.7070    0.4642
L1      10    0.7133    0.4675
L1      10    0.7196    0.4707
L1      10    0.7260    0.4740
L1      10    0.7323    0.4772
L1      10    0.7386    0.4805
L1      10    0.7449    0.4837
L1      10    0.7512    0.4871
L1      10    0.7575    0.4902
L1      10    0.7638    0.4932
L1      10    0.7701    0.4966
L1      10    0.7765    0.5003
L1      10    0.7828    0.5039
L1      10    0.7891    0.5076
L1      10    0.7954    0.5113
L1      10    0.8017    0.5151
L1      10    0.8080    0.5189
L1      10    0.8143    0.5228
L1      10    0.8206    0.5266
L1      10    0.8270    0.5303
L1      10    0.8333    0.5340
L1      10    0.8396    0.5377
L1      10    0.8459    0.5413
L1      10    0.8522    0.5450
L1      10    0.8585    0.5487
L1      10    0.8648    0.5523
L1      10    0.8711    0.5560
L1      10    0.8775    0.5596
L1      10    0.8838    0.5631
L1      10    0.8901    0.5662
L1      10    0.8964    0.5685
L1      10    0.9027    0.5708
L1      10    0.9090    0.5741
L1      10    0.9153    0.5785
L1      10    0.9216    0.5829
L1      10    0.9280    0.5873
L1      10    0.9343    0.5917
L1      10    0.9406    0.5961
L1      10    0.9469    0.6006
L1      10    0.9532    0.6051
L1      10    0.9595    0.6097
L1      10    0.9658    0.6127
L1      10    0.9721    0.6155
L1      10    0.9785    0.6183
L1      10    0.9848    0.6211
L1      10    0.9911    0.6239
L1      10    0.9974    0.6268
L1      10    1.0037    0.6297
L1      10    1.0100    0.6327
L1      10    1.0163    0.6361
L1      10    1.0226    0.6399
L1      10    1.0290    0.6437
L1      10    1.0353    0.6479
L1      10    1.0416    0.6527
L1      10    1.0479    0.6573
L1      10    1.0542    0.6611
L1      10    1.0605    0.6647
L1      10    1.0668    0.6684
L1      10    1.0731    0.6720
