iteration,Y'(-12),Y'(-8),Y'(-4),Y'(+0),Y'(+4),Y'(+8),Y'(+12),N'(-12),N'(-8),N'(-4),N'(+0),N'(+4),N'(+8),N'(+12)
1790,-0.00019470386310327763,-0.0001818659438986515,-9.824108528561494e-05,-1.3324420673621185e-08,9.824439287351754e-05,0.0001819447687372794,0.0001945102213203402,0.0005477412751247626,0.00032192007041973526,0.00015492049818178008,1.1834331116739714e-08,-0.00015493013881932508,-0.0003219386701538452,-0.0005477384099436115
1791,-0.00019470391364497978,-0.0001818671105154218,-9.824022654071674e-05,-1.323334849485875e-08,9.824341854969728e-05,0.00018194390516382598,0.00019450603696986594,0.0005477408038646282,0.00032191980390953903,0.00015492034973287232,1.1790432697616647e-08,-0.00015493031854375703,-0.0003219388022990622,-0.0005477385831081838
1792,-0.00019470344962683425,-0.00018186727680057744,-9.823958379213721e-05,-1.3323917969891351e-08,9.824252353989628e-05,0.0001819422880658105,0.00019450044737288124,0.0005477405297239994,0.0003219198101294976,0.00015492030539312286,1.1823327873789723e-08,-0.00015493043144872292,-0.000321939071352736,-0.0005477390070133917
1793,-0.00019470337011971218,-0.00018186668339370405,-9.823895353021523e-05,-1.1846309507472492e-08,9.824188301298415e-05,0.0001819428498964353,0.00019449798079003498,0.0005477401769899161,0.0003219199340662191,0.0001549201626739762,1.2130776606017993e-08,-0.00015493046404454317,-0.00032193884623185533,-0.0005477389135059101
1794,-0.00019470326158805713,-0.00018186887324841595,-9.823820851104331e-05,-1.089974133485916e-08,9.824121722507316e-05,0.0001819421689627624,0.00019449449790518437,0.0005477398307070166,0.00032191939803989867,0.00015492014266836956,1.2391993869534813e-08,-0.0001549305201999017,-0.00032193889802630606,-0.0005477389374377211
1795,-0.0001947030998841669,-0.00018186960523610456,-9.823806391645521e-05,-9.572730748362707e-09,9.824058474443941e-05,0.00018194113813863936,0.00019449144577750728,0.0005477394356818395,0.00032191921287473714,0.000154919882186215,1.2704860420626017e-08,-0.00015493053792793983,-0.0003219391006258497,-0.0005477390628080389
1796,-0.0001947030930566036,-0.00018186991632865548,-9.823815606885497e-05,-1.0030546853039637e-08,9.823994632195373e-05,0.00018194120681821156,0.000194487832656641,0.0005477390451424317,0.00032191916563542334,0.0001549196022510821,1.2691423822815549e-08,-0.00015493063383091482,-0.00032193898279347417,-0.0005477392337297265
1797,-0.00019470183613471803,-0.0001818704487209555,-9.823794542424245e-05,-9.644801405938132e-09,9.823911329125486e-05,0.00018193923578049853,0.0001944856602107376,0.0005477387912571327,0.0003219190244724225,0.00015491938149573368,1.2747398346124107e-08,-0.00015493069901099395,-0.00032193946989253665,-0.000547739350012893
1798,-0.00019470008445587387,-0.0001818709861674258,-9.823786326195693e-05,-9.32571088239004e-09,9.823851560853376e-05,0.000181938230306044,0.00019448107063009767,0.0005477387432547757,0.00032191888853511173,0.00015491918907010004,1.2915204377330315e-08,-0.00015493070108045975,-0.0003219397206331725,-0.0005477399083755703
1799,-0.0001946984481658047,-0.00018187092173414473,-9.82370254972838e-05,-8.310626711884642e-09,9.823766838576434e-05,0.00018193761006182234,0.00019447852365343286,0.0005477384550325307,0.00032191884081022497,0.00015491914047580641,1.3113773125317601e-08,-0.0001549308100083518,-0.000321939980784675,-0.0005477402211308119
1800,-0.00019469695387525838,-0.00018187146918058136,-9.823637370242923e-05,-6.975284902146289e-09,9.82368975558417e-05,0.00018193751989463758,0.00019447576248044326,0.0005477381805219416,0.0003219186514367643,0.00015491917232939367,1.3424301762304106e-08,-0.00015493095098174798,-0.0003219400592625169,-0.0005477404071515067
1801,-0.00019469451915437406,-0.00018187218596635058,-9.823601649082144e-05,-5.554688848188205e-09,9.823670522545338e-05,0.00018193790058301378,0.00019447464567631353,0.0005477379821769422,0.00032191837144613733,0.00015491910656662697,1.3624983169404782e-08,-0.0001549308619161029,-0.0003219400947787117,-0.0005477404611194746
1802,-0.00019469157249432295,-0.00018187271514683874,-9.823568653330928e-05,-4.740444522151901e-09,9.823596235110185e-05,0.0001819377293323576,0.00019447144767720533,0.0005477379792403818,0.0003219181420475899,0.00015491905759774843,1.3836023080051216e-08,-0.00015493093009286097,-0.0003219402236867756,-0.0005477408945974071
1803,-0.0001946890188871385,-0.00018187316005174802,-9.823525445594316e-05,-4.015297247129445e-09,9.823569713622932e-05,0.00018193714151167232,0.00019447026262699947,0.0005477377583971678,0.00032191788531822077,0.000154918997199407,1.3926707974328904e-08,-0.00015493087141483524,-0.0003219405253894513,-0.0005477410470673215
1804,-0.000194684697670129,-0.00018187366976432127,-9.823468810612173e-05,-3.999867521922906e-09,9.823457202276788e-05,0.00018193836552726458,0.00019446884525245093,0.0005477379681646935,0.00032191766937698165,0.00015491898312472742,1.4006169471725019e-08,-0.0001549309039042918,-0.00032194035187804124,-0.0005477411488526663
1805,-0.00019468047421633786,-0.00018187421433392032,-9.823402960390053e-05,-2.963246638649224e-09,9.823421640622861e-05,0.0001819399697090673,0.00019446884482880703,0.000547738239114414,0.00032191739040374564,0.00015491890477174714,1.422044034633904e-08,-0.00015493079155889095,-0.0003219401881705808,-0.0005477411794206412
1806,-0.00019467735453223748,-0.0001818759219242426,-9.823331350482851e-05,-2.6915185617947826e-09,9.823331215606457e-05,0.00018194089360744117,0.00019446681864842207,0.0005477382344436644,0.0003219168859859137,0.0001549188822735326,1.4327506542558251e-08,-0.0001549308503062843,-0.0003219400703844503,-0.0005477414403351871
1807,-0.00019467567806496334,-0.00018187526708900414,-9.823292389825566e-05,-2.1884594852740443e-09,9.82327731578754e-05,0.000181941749210478,0.0001944667565008476,0.000547737807509406,0.00032191692538669235,0.00015491870450295381,1.4328327378239379e-08,-0.00015493082425413802,-0.0003219400356312987,-0.0005477413609555667
1808,-0.0001946726329618932,-0.0001818740748467042,-9.823202759387772e-05,-2.4541963121089416e-09,9.823242979548215e-05,0.00018194184455991137,0.0001944651852745992,0.0005477376947871079,0.0003219171103206286,0.00015491876462844952,1.430361947737998e-08,-0.00015493073480697133,-0.00032194017392710676,-0.0005477414743946629
1809,-0.0001946680890855332,-0.00018187477512021362,-9.823262212587048e-05,-2.39640972319492e-09,9.82319309104587e-05,0.00018194150580242877,0.00019446454923732718,0.0005477378639977288,0.0003219168351857314,0.00015491836042825529,1.4229678231390982e-08,-0.00015493071184861858,-0.0003219403973369208,-0.0005477416381946135
1810,-0.0001946629582160714,-0.00018187635119373637,-9.823300599650201e-05,-2.7020294611621053e-09,9.823113303727717e-05,0.00018194240909003449,0.0001944627003371348,0.0005477381833660119,0.00032191638242361507,0.00015491813653749283,1.4223229382017077e-08,-0.00015493071109713656,-0.00032194026433617046,-0.0005477418893976997
1811,-0.00019465895705709994,-0.00018187699165463886,-9.823082280974799e-05,-3.069392093766463e-09,9.823088014945684e-05,0.00018194400075956393,0.00019446288481927363,0.0005477381296523917,0.0003219161453483902,0.0001549184849638501,1.4130202376665602e-08,-0.00015493053941703026,-0.00032194001974612563,-0.0005477418200763768
1812,-0.00019465499017387537,-0.00018187762648009232,-9.823049127785688e-05,-3.526205345556425e-09,9.823064927732608e-05,0.0001819439078731765,0.0001944621153341741,0.00054773817124981,0.00032191591176466625,0.0001549184471955216,1.4113565005965392e-08,-0.0001549303764425538,-0.0003219401357980669,-0.0005477418826228006
1813,-0.00019465104532998565,-0.000181877999897557,-9.823077629266288e-05,-3.826539389951409e-09,9.823150024195484e-05,0.0001819441017050376,0.00019446272005135433,0.000547738154925309,0.0003219156951759964,0.0001549181587004308,1.3902717800272657e-08,-0.00015492994838916518,-0.00032194019395121137,-0.0005477418755473086
1814,-0.00019464705744190553,-0.00018187799533599594,-9.823059476617915e-05,-4.452383932089449e-09,9.823007213542268e-05,0.0001819445331321596,0.0001944606262258764,0.0005477381755968442,0.0003219155617359181,0.00015491805636014546,1.3775415913312719e-08,-0.00015493011697085342,-0.0003219401483304742,-0.0005477422505483812
1815,-0.00019464352461633598,-0.00018187790763185712,-9.823045175582218e-05,-4.867539926787044e-09,9.82286756218878e-05,0.0001819447093877251,0.00019445959591406694,0.0005477380416249479,0.0003219153984677856,0.00015491787437201858,1.3532402610483789e-08,-0.00015493027398665585,-0.00032194025908735774,-0.0005477424817273628
1816,-0.0001946401080859423,-0.00018187956950804727,-9.823090991684452e-05,-5.7359004765314035e-09,9.822809661398084e-05,0.00018194595718648866,0.00019445741543863384,0.0005477379814370215,0.000321914842486728,0.00015491763944025153,1.3403242058153964e-08,-0.00015493020009863464,-0.0003219400323479005,-0.0005477427806322133
1817,-0.00019463747225243312,-0.00018188072465687578,-9.823116850513831e-05,-6.231169730158837e-09,9.822749674210454e-05,0.00018194754118116706,0.00019445697821842783,0.0005477377985147446,0.00032191437659101886,0.0001549174766530675,1.3231921436105291e-08,-0.0001549301936636366,-0.0003219398143025118,-0.0005477428447047237
1818,-0.00019463395436277402,-0.00018188020699359028,-9.823152559457902e-05,-6.342646938003883e-09,9.822578114195693e-05,0.0001819481505879867,0.00019445470204873497,0.0005477378698708496,0.0003219143362884619,0.00015491736862001707,1.3220886539346674e-08,-0.0001549304303804624,-0.00032193975850786457,-0.0005477429817519155
1819,-0.00019463202205399486,-0.00018187988246266089,-9.82319797713783e-05,-5.87122613125014e-09,9.8226740390951e-05,0.00018194822640053986,0.00019445331851643727,0.0005477374955403301,0.0003219142533710956,0.00015491716704248897,1.3231083997990439e-08,-0.00015492998640259244,-0.00032193988117284734,-0.0005477430442058492
1820,-0.0001946304857438853,-0.00018188023630383667,-9.823278593911325e-05,-7.953690947402826e-09,9.822651743702022e-05,0.00018194808217442343,0.00019445158570452484,0.0005477371131169278,0.00032191402938321854,0.0001549169336714922,1.273662712265943e-08,-0.0001549298060492279,-0.00032193998853072004,-0.0005477429997874832
1821,-0.00019462702351906382,-0.000181881340694215,-9.823285748961179e-05,-8.519170614510546e-09,9.822530857408645e-05,0.00018194851652764395,0.00019445082209132675,0.0005477371055558628,0.000321913607050342,0.0001549168753333675,1.2475401466823008e-08,-0.00015492990458123372,-0.00032194001361865714,-0.0005477428510634174
