# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
113                 	DILUPBiCGStab	5.168868227700e-04	3.765840722260e-05	1	8.816457529720e-04	6.449066900040e-05	1	false	DICPCG	1.041985719080e-03	8.475084115360e-06	68	true
114                 	DILUPBiCGStab	5.034547115130e-04	3.666707267000e-05	1	8.589130469160e-04	6.273509583550e-05	1	false	DICPCG	1.012928966190e-03	8.489366849700e-06	68	true
115                 	DILUPBiCGStab	4.903724967120e-04	3.570295746880e-05	1	8.367756083390e-04	6.103144883550e-05	1	false	DICPCG	9.847050827670e-04	8.070774889720e-06	68	true
116                 	DILUPBiCGStab	4.776313674080e-04	3.476410971880e-05	1	8.152095489660e-04	5.937603271960e-05	1	false	DICPCG	9.573618461190e-04	8.216116115590e-06	68	true
117                 	DILUPBiCGStab	4.652152680020e-04	3.384978802750e-05	1	7.942087742770e-04	5.776826073650e-05	1	false	DICPCG	9.308284443290e-04	7.826963236780e-06	68	true
118                 	DILUPBiCGStab	4.531163037940e-04	3.296048310230e-05	1	7.737692555030e-04	5.620609990130e-05	1	false	DICPCG	9.050540873590e-04	7.761726597860e-06	68	true
119                 	DILUPBiCGStab	4.413284064860e-04	3.209538097780e-05	1	7.538620278980e-04	5.468787461920e-05	1	false	DICPCG	8.799641041500e-04	7.409559073590e-06	68	true
120                 	DILUPBiCGStab	4.298442616870e-04	3.125357317810e-05	1	7.344750836050e-04	5.321388577800e-05	1	false	DICPCG	8.556238300450e-04	7.394949289570e-06	68	true
121                 	DILUPBiCGStab	4.186577488110e-04	3.043406686600e-05	1	7.155910562400e-04	5.178308545190e-05	1	false	DICPCG	8.320146105270e-04	6.884186976740e-06	68	true
122                 	DILUPBiCGStab	4.077616879090e-04	2.963576449640e-05	1	6.972012291840e-04	5.039175354630e-05	1	false	DICPCG	8.090302110660e-04	7.251335712480e-06	68	true
123                 	DILUPBiCGStab	3.971495575910e-04	2.885858130390e-05	1	6.792899349150e-04	4.903908007170e-05	1	false	DICPCG	7.866442544460e-04	7.085956131720e-06	68	true
124                 	DILUPBiCGStab	3.868136697500e-04	2.810211508880e-05	1	6.618519279150e-04	4.772407880950e-05	1	false	DICPCG	7.648716025730e-04	6.538356883280e-06	68	true
125                 	DILUPBiCGStab	3.767471483280e-04	2.736581536110e-05	1	6.448663347340e-04	4.644546480780e-05	1	false	DICPCG	7.436226739840e-04	6.801938550220e-06	68	true
126                 	DILUPBiCGStab	3.669496928990e-04	2.664881062510e-05	1	6.283183857780e-04	4.520164579820e-05	1	false	DICPCG	7.228774050060e-04	6.338114641160e-06	68	true
127                 	DILUPBiCGStab	3.574113159130e-04	2.595042478180e-05	1	6.121937561090e-04	4.399182496330e-05	1	false	DICPCG	7.027608984800e-04	6.228116496740e-06	68	true
128                 	DILUPBiCGStab	3.481247855090e-04	2.527051229430e-05	1	5.964823769220e-04	4.281692076470e-05	1	false	DICPCG	6.832306537170e-04	6.117132100030e-06	68	true
129                 	DILUPBiCGStab	3.390818609400e-04	2.460854930020e-05	1	5.811783796720e-04	4.167638488370e-05	1	false	DICPCG	6.642062487440e-04	5.816244972090e-06	68	true
130                 	DILUPBiCGStab	3.302755914690e-04	2.396400916660e-05	1	5.662713736670e-04	4.056691876600e-05	1	false	DICPCG	6.456573694850e-04	5.918568404950e-06	68	true
131                 	DILUPBiCGStab	3.217003762510e-04	2.333670058000e-05	1	5.517476275520e-04	3.948725479030e-05	1	false	DICPCG	6.276343957520e-04	5.772483271320e-06	68	true
