# Region            : cellZone gateZone
# Cells             : 455
# Volume            : 5.129523050075e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
0.0056778822        	3.223267840635e+00	6.649318174234e+04	2.190725652589e+02
0.0056799765        	3.223353377759e+00	6.649758982655e+04	2.190759993499e+02
0.0056820687        	3.223440122146e+00	6.650644895878e+04	2.190832754745e+02
0.0056841591        	3.223523013138e+00	6.651772612324e+04	2.190926171641e+02
0.0056862483        	3.223606126716e+00	6.652940814305e+04	2.191020866739e+02
0.0056883373        	3.223687261974e+00	6.654011622912e+04	2.191103918449e+02
0.005690427         	3.223767134809e+00	6.654841585193e+04	2.191161687440e+02
0.0056925182        	3.223841342973e+00	6.655342852369e+04	2.191184540465e+02
0.0056946114        	3.223904474420e+00	6.655492557250e+04	2.191168882806e+02
0.0056967067        	3.223954174213e+00	6.655257610793e+04	2.191111478760e+02
0.005698804         	3.223989004586e+00	6.654612373331e+04	2.191008723586e+02
0.0057009016        	3.224013045831e+00	6.653582384746e+04	2.190864089164e+02
0.0057030006        	3.224031488995e+00	6.652329976975e+04	2.190694617455e+02
0.0057051012        	3.224050929052e+00	6.651035172690e+04	2.190519054634e+02
0.005707202         	3.224071564152e+00	6.649856564935e+04	2.190354669653e+02
0.0057093022        	3.224098244303e+00	6.648936275591e+04	2.190215296043e+02
0.0057114015        	3.224129787454e+00	6.648329875826e+04	2.190106758676e+02
0.0057134993        	3.224163136644e+00	6.648016833292e+04	2.190028179893e+02
0.0057155954        	3.224201463241e+00	6.648022947970e+04	2.189981720399e+02
0.0057176894        	3.224245434650e+00	6.648429855579e+04	2.189975400568e+02
0.0057197815        	3.224297124969e+00	6.649227118939e+04	2.190007833606e+02
0.0057218719        	3.224352159762e+00	6.650284094484e+04	2.190067593605e+02
0.0057239613        	3.224405532136e+00	6.651436673705e+04	2.190141234439e+02
0.0057260505        	3.224455409816e+00	6.652537883247e+04	2.190215922664e+02
0.0057281406        	3.224500318636e+00	6.653432492474e+04	2.190278685391e+02
0.0057302324        	3.224537676448e+00	6.653908717297e+04	2.190310309300e+02
0.0057323264        	3.224570097477e+00	6.653935938387e+04	2.190305986102e+02
0.0057344226        	3.224594954592e+00	6.653531077533e+04	2.190266302558e+02
0.005736519         	3.224609756608e+00	6.652721733158e+04	2.190193787462e+02
0.0057386158        	3.224616287121e+00	6.651525582445e+04	2.190088095102e+02
